,Unnamed: 0,weather,visibility,dt,timezone,rain,pressure,humidity,sea_level,grnd_level,speed,deg,gust,type,id.1,country,sunrise,sunset,lon,lat,all,temp_c,feels_like_c,temp_min_c,temp_max_c,City
72,72,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,2021-11-06 15:18:58,3600,,1032,61,,,0.45,32,0.45,2,2038329,Spain,06:53:13,16:57:27,-2.9253,43.2627,40,12.970000000000027,11.920000000000016,10.79000000000002,13.620000000000005,Bilbao
73,73,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:23:16,3600,,1020,23,1020.0,978.0,6.43,352,8.0,1,6425,Spain,06:37:04,17:02:12,-1.5,38.0,71,17.060000000000002,15.420000000000016,14.910000000000025,18.24000000000001,Murcia
74,74,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:22:40,3600,,1015,63,,,3.58,46,5.81,2,2001128,Spain,06:23:23,16:42:41,2.6502,39.5694,98,15.010000000000048,14.210000000000036,14.560000000000002,15.050000000000011,Palma de Mallorca
75,75,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:23:16,0,,1017,56,,,11.83,40,,1,2371,Spain,07:11:32,18:07:50,-14.0131,28.4204,20,21.439999999999998,21.100000000000023,21.439999999999998,21.439999999999998,Las Palmas
76,76,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:20:44,3600,,1020,39,,,3.58,130,7.6,2,18549,Spain,06:28:56,16:41:03,2.159,41.3888,0,17.439999999999998,16.260000000000048,15.110000000000014,19.610000000000014,Barcelona
77,77,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:21:52,3600,,1024,48,,,6.71,315,12.96,2,2030961,Spain,06:41:38,16:52:39,-0.8773,41.6561,0,12.470000000000027,11.03000000000003,10.82000000000005,16.730000000000018,Zaragoza
78,78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:23:17,3600,,1020,20,1020.0,977.0,3.85,86,4.45,2,2008731,Spain,06:36:53,16:57:03,-0.8333,39.3333,4,16.53000000000003,14.760000000000048,15.120000000000005,17.28000000000003,Valencia
79,79,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:17,0,,1017,71,,,11.32,270,,1,1555,Ireland,07:45:21,16:49:40,-8.4694,54.2697,75,11.939999999999998,11.04000000000002,11.170000000000016,11.960000000000036,Sligo
80,80,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:17,0,,1020,76,1020.0,1019.0,9.18,284,13.24,1,1569,Ireland,07:44:17,16:55:22,-9.0489,53.2719,77,12.970000000000027,12.310000000000002,12.970000000000027,12.970000000000027,Galway
81,81,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:17,0,,1015,89,,,6.71,284,13.41,2,2016139,Ireland,07:33:23,16:44:01,-6.2672,53.344,75,14.150000000000034,13.939999999999998,13.210000000000036,14.980000000000018,Dublin
82,82,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",5000,2021-11-06 15:25:18,0,,1021,94,,,4.63,280,10.29,1,1552,Ireland,07:42:15,17:01:09,-9.5167,52.05,90,14.03000000000003,13.939999999999998,14.03000000000003,14.03000000000003,Killarney
83,83,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:18,0,,1021,94,,,7.2,250,,1,1563,Ireland,07:37:35,16:57:27,-8.4706,51.898,75,14.03000000000003,13.939999999999998,12.800000000000011,14.240000000000009,Cork
84,84,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:18,0,,1020,85,1020.0,1019.0,8.11,291,14.59,1,1569,Ireland,07:40:37,16:55:39,-8.6231,52.6647,100,12.970000000000027,12.54000000000002,12.82000000000005,12.970000000000027,Limerick
85,85,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:18,0,,1017,88,1017.0,1017.0,9.29,249,17.11,2,2003195,Ireland,07:31:05,16:45:19,-6.1414,52.7931,100,14.960000000000036,14.810000000000002,13.270000000000039,15.04000000000002,Arklow
86,86,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",5000,2021-11-06 15:25:44,3600,{'1h': 0.49},1018,87,,,3.58,5,,2,2003237,Italy,05:39:25,15:53:51,14.25,40.8333,90,15.910000000000025,15.830000000000041,13.900000000000034,18.49000000000001,Napels
87,87,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:27:18,3600,,1022,88,,,1.34,90,3.58,2,2004823,Italy,05:29:34,15:42:53,16.8512,41.1177,0,15.390000000000043,15.28000000000003,13.260000000000048,18.150000000000034,Bari
88,88,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:27:19,3600,,1025,69,,,0.89,281,1.79,2,2004497,Italy,05:58:23,15:57:25,11.4333,44.4667,20,12.090000000000032,11.160000000000025,8.080000000000041,15.620000000000005,Bologna
89,89,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",9000,2021-11-06 15:25:59,3600,,1016,75,,,3.6,90,,2,2037790,Italy,05:48:38,15:58:45,12.4839,41.8947,75,17.32000000000005,17.07000000000005,15.450000000000045,18.879999999999995,Rome
90,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:27:03,3600,,1024,46,,,0.89,285,3.13,2,2020320,Italy,06:09:39,16:04:06,9.1895,45.4643,0,13.610000000000014,12.230000000000018,11.060000000000002,15.170000000000016,Milaan
91,91,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,2021-11-06 15:25:38,3600,,1021,54,,,2.68,351,5.36,2,2010208,Italy,06:07:56,16:06:48,9.0667,44.5,31,9.760000000000048,8.420000000000016,5.740000000000009,11.760000000000048,Genua
92,92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:27:19,3600,,1024,57,,,3.6,70,,1,6779,Italy,05:57:02,15:51:37,12.3267,45.4386,0,14.180000000000007,13.140000000000043,13.330000000000041,15.04000000000002,Venetië
93,93,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:29:19,7200,,1020,60,,,0.0,0,,1,6638,Greece,05:09:43,15:31:56,20.7019,38.8275,20,22.950000000000045,22.870000000000005,22.950000000000045,22.950000000000045,Lefkada
94,94,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:29:19,7200,,1021,58,1021.0,989.0,1.05,322,1.21,2,2005099,Greece,05:05:13,15:19:04,22.8708,40.9919,76,18.27000000000004,17.670000000000016,17.110000000000014,19.52000000000004,Kilkis
95,95,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",6000,2021-11-06 15:25:21,7200,,1022,88,,,0.0,0,,1,6629,Greece,05:04:22,15:23:31,22.4203,39.6372,20,16.939999999999998,16.99000000000001,16.52000000000004,16.939999999999998,Larisa
96,96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:29:20,7200,,1021,72,,,1.54,300,,2,2035774,Greece,05:04:14,15:19:29,22.9439,40.6403,0,19.980000000000018,19.910000000000025,18.54000000000002,22.400000000000034,Thessaloniki
97,97,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:27:53,7200,,1019,55,1019.0,1018.0,2.04,51,2.22,1,6641,Greece,05:04:30,15:28:53,21.7344,38.2444,99,22.02000000000004,21.710000000000036,20.99000000000001,23.150000000000034,Patras
98,98,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,2021-11-06 15:29:20,7200,,1019,87,,,2.57,320,,1,6616,Greece,04:45:42,15:20:25,25.1434,35.3279,20,19.730000000000018,20.03000000000003,18.82000000000005,22.090000000000032,Iraklion
99,99,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,2021-11-06 15:29:20,7200,,1016,73,,,0.89,234,0.89,2,2018805,Greece,04:56:05,15:21:27,23.7162,37.9795,20,21.78000000000003,21.920000000000016,19.860000000000014,23.54000000000002,Athene
100,100,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:31:20,3600,,1022,82,,,4.63,60,,1,6392,Croatia,05:42:21,15:42:58,15.2422,44.1197,90,11.340000000000032,10.670000000000016,10.920000000000016,11.340000000000032,Zadar
101,101,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,2021-11-06 15:31:20,3600,,1029,94,1029.0,1017.0,0.6,135,1.29,2,2019496,Croatia,05:33:36,15:29:32,18.0156,45.1603,100,8.340000000000032,8.340000000000032,7.140000000000043,9.100000000000023,Slavonski Brod
102,102,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",7000,2021-11-06 15:31:21,3600,,1022,94,,,1.54,10,,1,6387,Croatia,05:36:13,15:39:32,16.4392,43.5089,90,13.870000000000005,13.770000000000039,11.03000000000003,14.410000000000025,Split
103,103,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,2021-11-06 15:31:21,3600,{'1h': 0.53},1028,93,,,2.06,150,,1,6384,Croatia,05:31:48,15:25:55,18.6939,45.5511,100,8.689999999999998,7.610000000000014,7.900000000000034,10.689999999999998,Osijek
104,104,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,2021-11-06 15:31:21,3600,{'1h': 0.12},1028,73,1028.0,1013.0,0.47,134,0.63,2,2019340,Croatia,05:37:42,15:30:29,17.3839,45.8319,100,8.28000000000003,8.28000000000003,7.900000000000034,10.470000000000027,Virovitica
105,105,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:31:21,3600,,1024,56,,,3.13,149,5.36,2,2012765,Croatia,05:48:28,15:43:31,14.4092,45.3431,0,10.350000000000023,8.900000000000034,5.580000000000041,13.29000000000002,Rijeka
106,106,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:31:21,3600,,1027,63,,,1.54,70,,2,2006646,Croatia,05:43:18,15:36:09,15.9775,45.8131,20,10.870000000000005,9.660000000000025,9.300000000000011,11.120000000000005,Zagreb
107,107,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:33:22,3600,,1028,81,,,3.09,320,,1,6877,Austria,05:59:56,15:42:59,13.044,47.7994,75,6.600000000000023,4.3700000000000045,4.1299999999999955,7.550000000000011,Salzburg
108,108,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:33:22,3600,,1029,64,,,0.45,45,0.89,2,2037452,Austria,05:47:39,15:28:38,16.3721,48.2085,0,9.390000000000043,9.390000000000043,6.840000000000032,10.870000000000005,Wenen
109,109,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:33:22,3600,,1028,81,,,2.06,300,,2,2020332,Austria,05:56:55,15:38:05,14.0333,48.1667,20,7.3700000000000045,6.07000000000005,4.910000000000025,8.340000000000032,Wels
110,110,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:33:22,3600,,1027,70,,,1.03,0,,1,6872,Austria,06:05:10,15:50:56,11.3945,47.2627,0,3.590000000000032,3.590000000000032,-4.839999999999975,6.3799999999999955,Innsbruck
111,111,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:33:22,3600,,1030,74,,,0.89,315,0.89,2,37904,Austria,05:56:16,15:36:42,14.2861,48.3064,20,7.78000000000003,7.78000000000003,5.590000000000032,8.710000000000036,Linz
112,112,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:33:22,3600,,1028,76,,,2.06,300,,1,6874,Austria,05:56:16,15:37:07,14.2346,48.2266,20,7.670000000000016,6.420000000000016,5.4500000000000455,8.600000000000023,Traun
113,113,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:33:22,3600,,1030,58,,,1.54,170,,1,6871,Austria,05:48:27,15:35:13,15.45,47.0667,90,9.050000000000011,8.520000000000039,7.830000000000041,10.03000000000003,Graz
114,114,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:33:23,3600,,1028,78,,,2.57,250,,2,145123,Austria,06:12:23,15:56:55,9.7471,47.5031,20,6.770000000000039,4.939999999999998,4.82000000000005,8.430000000000007,Bregenz
115,115,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:23,10800,,1015,53,,,2.06,260,,1,6946,Turkey,04:07:58,14:36:59,35.2881,36.985,0,23.010000000000048,22.75,23.010000000000048,23.29000000000002,Adana
116,116,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:34:37,10800,,1023,53,,,1.54,270,,2,267643,Turkey,04:23:09,14:41:16,32.8543,39.9199,0,16.53000000000003,15.620000000000005,15.580000000000041,16.78000000000003,Ankara
117,117,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,2021-11-06 15:33:46,10800,,1023,65,1023.0,960.0,0.43,280,1.74,1,6982,Turkey,04:38:43,14:55:52,29.0833,40.1667,100,17.02000000000004,16.470000000000027,14.080000000000041,17.02000000000004,Bursa
118,118,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:23,10800,,1022,52,1022.0,827.0,1.65,38,1.61,1,6992,Turkey,03:48:42,14:06:34,41.5,40.0,0,7.82000000000005,7.0,7.82000000000005,7.82000000000005,Erzurum
119,119,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:23,10800,,1018,41,1018.0,922.0,3.19,15,3.2,1,6996,Turkey,03:45:20,14:10:01,41.4885,38.1938,0,14.140000000000043,12.680000000000007,14.140000000000043,14.75,Kozluk
120,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",6000,2021-11-06 15:35:24,10800,,1024,94,,,7.2,30,,1,6970,Turkey,04:40:50,14:54:33,28.9833,41.0351,75,14.879999999999995,14.879999999999995,14.680000000000007,17.05000000000001,Istanbul
121,121,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:24,10800,,1016,60,,,1.03,260,,1,6956,Turkey,04:25:53,14:55:37,30.7178,36.7741,0,21.33000000000004,21.090000000000032,21.33000000000004,21.33000000000004,Antalya
122,122,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:24,10800,,1022,32,1022.0,885.0,2.85,329,2.91,1,6957,Turkey,04:21:16,14:46:00,32.5,38.1667,8,14.710000000000036,13.07000000000005,14.710000000000036,14.710000000000036,Konya
123,123,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:24,10800,,1018,39,,,0.0,0,,1,6952,Turkey,03:59:43,14:28:29,37.3825,37.0594,0,16.960000000000036,15.730000000000018,16.960000000000036,19.810000000000002,Gaziantep
124,124,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:24,10800,,1019,71,,,3.09,310,,1,6979,Turkey,04:43:27,15:07:04,27.0923,38.4622,0,21.140000000000043,21.160000000000025,20.920000000000016,21.730000000000018,İzmir
125,125,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:34:30,7200,,1023,66,,,0.45,92,1.79,2,2037828,Romania,04:59:33,14:58:51,26.1063,44.4323,0,14.82000000000005,14.080000000000041,13.900000000000034,15.57000000000005,Boekarest
126,126,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:37:09,7200,,1028,76,,,1.03,0,,1,6913,Romania,05:15:04,15:03:23,23.6,46.7667,0,9.710000000000036,9.710000000000036,9.710000000000036,9.710000000000036,Cluj-Napoca
127,127,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:37:25,7200,,1026,77,,,4.63,330,,2,50401,Romania,04:50:27,14:46:25,28.8,45.1667,0,12.210000000000036,11.5,12.210000000000036,13.020000000000039,Tulcea
128,128,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:37:01,7200,,1026,74,1026.0,1022.0,3.04,30,4.97,1,6912,Romania,04:48:49,14:49:15,28.65,44.1833,77,13.379999999999995,12.710000000000036,12.610000000000014,13.379999999999995,Constanța
129,129,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:37:25,7200,,1028,67,,,1.54,310,,1,6916,Romania,05:00:03,14:46:25,27.6,47.1667,0,9.939999999999998,9.54000000000002,8.410000000000025,10.379999999999995,Iași
130,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:35:02,7200,,1028,93,,,1.03,0,,1,6926,Romania,05:22:07,15:15:19,21.2272,45.7494,0,9.160000000000025,9.160000000000025,8.950000000000045,10.100000000000023,Timișoara
131,131,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,2021-11-06 15:36:02,7200,,1023,79,,,0.45,292,1.34,2,38347,Romania,05:04:21,14:58:03,25.6061,45.6486,99,10.57000000000005,9.75,9.770000000000039,12.730000000000018,Brașov
132,132,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,2021-11-06 15:39:26,3600,,1028,69,1028.0,1018.0,1.46,108,1.51,2,268793,Hungary,05:27:39,15:18:26,20.1482,46.253,100,9.5,9.120000000000005,9.5,9.5,Szeged
133,133,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:39:26,3600,,1029,66,,,2.57,20,,1,6670,Hungary,05:41:15,15:24:56,17.6351,47.6833,0,9.930000000000007,8.689999999999998,7.560000000000002,10.180000000000007,Győr
134,134,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:39:26,3600,,1028,68,1028.0,1012.0,0.85,231,0.88,2,2031965,Hungary,05:29:43,15:11:17,20.7833,48.1,59,7.920000000000016,7.920000000000016,7.920000000000016,7.920000000000016,Miskolc
135,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:37:52,3600,,1028,63,,,1.03,190,,2,2009313,Hungary,05:35:09,15:19:47,19.0399,47.498,0,10.050000000000011,8.760000000000048,6.680000000000007,11.120000000000005,Budapest
136,136,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:39:26,3600,,1028,65,1028.0,1015.0,1.44,12,1.47,2,18978,Hungary,05:36:54,15:23:05,18.4103,47.1899,69,9.370000000000005,9.0,8.720000000000027,11.03000000000003,Székesfehérvár
137,137,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:39:26,3600,,1028,58,,,1.03,0,,1,6665,Hungary,05:24:51,15:09:20,21.6333,47.5333,0,10.870000000000005,9.53000000000003,10.060000000000002,11.060000000000002,Debrecen
138,138,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:39:27,3600,,1028,66,,,2.57,80,,1,6669,Hungary,05:34:54,15:26:29,18.2333,46.0833,0,9.980000000000018,8.75,7.410000000000025,9.980000000000018,Pécs
139,139,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,2021-11-06 15:41:27,7200,,1024,68,,,2.06,70,,1,6363,Bulgaria,05:00:04,15:09:12,24.75,42.15,40,19.03000000000003,18.760000000000048,18.04000000000002,20.170000000000016,Plovdiv
140,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:41:27,7200,,1026,76,,,1.03,0,,1,6367,Bulgaria,04:49:38,14:54:17,27.9167,43.2167,75,15.950000000000045,15.590000000000032,13.580000000000041,16.600000000000023,Varna
141,141,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,2021-11-06 15:41:27,7200,,1026,72,,,2.06,320,,1,6369,Bulgaria,05:03:17,15:07:03,24.6167,43.4167,40,15.970000000000027,15.5,15.970000000000027,15.970000000000027,Pleven
142,142,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:41:28,7200,,1025,75,,,1.54,310,,2,2034562,Bulgaria,05:06:55,15:13:45,23.3242,42.6975,0,14.53000000000003,14.0,12.830000000000041,19.08000000000004,Sofia
143,143,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,2021-11-06 15:41:28,7200,,1026,64,1026.0,1021.0,3.06,63,6.04,2,2032494,Bulgaria,04:58:49,15:00:40,25.9708,43.8564,25,15.29000000000002,14.550000000000011,14.689999999999998,15.800000000000011,Roese
144,144,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:41:28,7200,,1026,70,1026.0,997.0,2.6,25,4.91,2,2032300,Bulgaria,04:53:44,14:58:09,26.9229,43.2706,71,15.400000000000034,14.82000000000005,15.400000000000034,15.400000000000034,Shumen
145,145,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:41:28,7200,,1024,72,,,4.12,90,,1,6362,Bulgaria,04:53:45,15:01:31,26.5,42.4833,75,19.140000000000043,18.99000000000001,16.660000000000025,19.140000000000043,Yambol
146,146,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,2021-11-06 15:41:28,7200,,1024,76,1024.0,964.0,1.23,349,1.34,2,2033225,Bulgaria,05:08:35,15:17:09,22.6911,42.2839,97,14.840000000000032,14.360000000000014,14.840000000000032,16.150000000000034,Kyustendil
